Reference_ID,species,Treatment_ID,site,city,country,IBW_g,days,tankV_m3,tankN,Vmisc_m3,totalV_m3,density_kg_m3,Nfish,biomass_kg,exchV_m3,exchFreq_d,exchRate,T_degC,O2_mgL,pH,Survival,FBW_g,FBM_g,rearingV_m3,rearing_total_ratio,freshwater_m3_d,ABW_g,ABM_g,AD_kg_m3
Shaw2022a,Nile tilapia,FM,IGB,Berlin,Germany,11.3,49,0.16,1,0,0.16,2.11875,30,0.339,0.008,1,0.05,26.6,7.42,7.86,82.50%,31.81,787,0.16,1,0.008,21.555,646.65,4.0415624999999995
Shaw2022a,Nile tilapia,BSF,IGB,Berlin,Germany,11.24,49,0.16,1,0,0.16,2.1075,30,0.3372,0.008,1,0.05,26.6,7.25,7.9,93.30%,26.67,747,0.16,1,0.008,18.955000000000002,568.6500000000001,3.5540625000000006
Shaw2022a,Nile tilapia,PBM,IGB,Berlin,Germany,11.15,49,0.16,1,0,0.16,2.090625,30,0.3345,0.008,1,0.05,26.6,7.46,8.09,85.00%,21.1,538,0.16,1,0.008,16.125,483.75,3.0234375
Shaw2022a,Nile tilapia,PM,IGB,Berlin,Germany,11.36,49,0.16,1,0,0.16,2.13,30,0.3408,0.008,1,0.05,26.7,7.29,7.67,83.30%,30.88,772,0.16,1,0.008,21.119999999999997,633.5999999999999,3.9599999999999995
Monsees2017b,Nile tilapia,RAS A,IGB,Berlin,Germany,68,154,1.7,4,9.7,16.5,4,984,66.9,NA,NA,0.053,26.8,6.4,7.3,,329.94,NA,6.8,0.4121212121212121,0.8744999999999999,198.97,195786.48,11.865847272727274
Monsees2017b,Nile tilapia,RAS C+Hydro C,IGB,Berlin,Germany,68,154,1.7,4,9.7,16.5,4,982,66.8,NA,NA,0.028999999999999998,26.8,6.5,7.1,,336.13,NA,6.8,0.4121212121212121,0.4785,202.065,198427.83,12.025929090909091
Monsees2017b,Nile tilapia,RAS D/Hydro D,IGB,Berlin,Germany,68,154,1.7,4,9.7,16.5,4,982,66.8,NA,NA,0.027999999999999997,27.3,6.3,7.2,,329.51,NA,6.8,0.4121212121212121,0.46199999999999997,198.755,195177.41,11.82893393939394
Siqwepu2020,African catfish,FeSO4-20,Wegevallen Experimental Facility,Stellenbosch,South Africa,111,96,0.1,3,0,0.3,0.37,10,0.111,NA,NA,NA,27,6.435,6.45,70%,409,NA,0.30000000000000004,1.0000000000000002,NA,260,2600,8.666666666666668
Siqwepu2020,African catfish,FeSO4-30,Wegevallen Experimental Facility,Stellenbosch,South Africa,113,96,0.1,3,0,0.3,0.376666666666667,10,0.113,NA,NA,NA,27,6.435,6.45,73%,466,NA,0.30000000000000004,1.0000000000000002,NA,289.5,2895,9.65
Siqwepu2020,African catfish,FeSO4-60,Wegevallen Experimental Facility,Stellenbosch,South Africa,109,96,0.1,3,0,0.3,0.363333333333333,10,0.109,NA,NA,NA,27,6.435,6.45,67%,425,NA,0.30000000000000004,1.0000000000000002,NA,267,2670,8.9
Siqwepu2020,African catfish,FeAA-5,Wegevallen Experimental Facility,Stellenbosch,South Africa,118,96,0.1,3,0,0.3,0.393333333333333,10,0.118,NA,NA,NA,27,6.435,6.45,70%,438,NA,0.30000000000000004,1.0000000000000002,NA,278,2780,9.266666666666667
Siqwepu2020,African catfish,FeAA-10,Wegevallen Experimental Facility,Stellenbosch,South Africa,121,96,0.1,3,0,0.3,0.403333333333333,10,0.121,NA,NA,NA,27,6.435,6.45,83%,455,NA,0.30000000000000004,1.0000000000000002,NA,288,2880,9.6
Siqwepu2020,African catfish,FeAA-20,Wegevallen Experimental Facility,Stellenbosch,South Africa,118,96,0.1,3,0,0.3,0.393333333333333,10,0.118,NA,NA,NA,27,6.435,6.45,80%,426,NA,0.30000000000000004,1.0000000000000002,NA,272,2720,9.066666666666668
Siqwepu2020,African catfish,Control,Wegevallen Experimental Facility,Stellenbosch,South Africa,110,96,0.1,3,0,0.3,0.366666666666667,10,0.11,NA,NA,NA,27,6.435,6.45,90%,384,NA,0.30000000000000004,1.0000000000000002,NA,247,2470,8.233333333333334
Knaus2022,African catfish,EbbFlow,FishGlassHouse,Rostock,Germany,710,54,1,9,4,13,7.64615384615385,140,68.8153846153846,0.8,7,0.0088,NA,NA,NA,,1196,NA,9,0.6923076923076923,0.1144,953,133420,10.263076923076925
Knaus2022,African catfish,FloatingRaft,FishGlassHouse,Rostock,Germany,710,54,1,9,4,13,7.64615384615385,140,68.8153846153846,0.8,7,0.0088,NA,NA,NA,,1196,NA,9,0.6923076923076923,0.1144,953,133420,10.263076923076925
Knaus2022,African catfish,GrowPipe,FishGlassHouse,Rostock,Germany,710,54,1,9,4,13,7.64615384615385,140,68.8153846153846,0.8,7,0.0088,NA,NA,NA,,1196,NA,9,0.6923076923076923,0.1144,953,133420,10.263076923076925
Schmautz2016,Nile tilapia,NFT,ZHAW,W<e4>denswill,Switzerland,67.8,220,2.7,1,1.42,4.12,4.9368932038835,300,20.34,0.05,3,0.004,NA,NA,NA,,264.466666666667,NA,2.7,0.6553398058252428,0.01648,166.1333333333335,49840.00000000005,12.09708737864079
Schmautz2016,Nile tilapia,Raft,ZHAW,W<e4>denswill,Switzerland,67.8,220,2.7,1,1.42,4.12,4.9368932038835,300,20.34,0.05,3,0.004,NA,NA,NA,,264.466666666667,NA,2.7,0.6553398058252428,0.01648,166.1333333333335,49840.00000000005,12.09708737864079
Schmautz2016,Nile tilapia,Drip,ZHAW,W<e4>denswill,Switzerland,67.8,220,2.7,1,1.42,4.12,4.9368932038835,300,20.34,0.05,3,0.004,NA,NA,NA,,264.466666666667,NA,2.7,0.6553398058252428,0.01648,166.1333333333335,49840.00000000005,12.09708737864079
Knaus2020,African catfish,GrowPipe,FishGlassHouse,Rostock,Germany,510,71,1,9,4,13,5.49230769230769,140,71.4,NA,NA,NA,NA,NA,NA,99.33%,1060,NA,9,0.6923076923076923,NA,785,109900,8.453846153846154
Knaus2020,African catfish,Raft,FishGlassHouse,Rostock,Germany,510,71,1,9,4,13,5.49230769230769,140,71.4,NA,NA,NA,NA,NA,NA,99.33%,1060,NA,9,0.6923076923076923,NA,785,109900,8.453846153846154
Knaus2020,African catfish,Gravel,FishGlassHouse,Rostock,Germany,510,71,1,9,4,13,5.49230769230769,140,71.4,NA,NA,NA,NA,NA,NA,99.33%,1060,NA,9,0.6923076923076923,NA,785,109900,8.453846153846154
Pasch2021,African catfish,Aeroponics,FishGlassHouse,Rostock,Germany,715.973,49,1,9,4,13,6.60898153846154,120,85.91676,NA,NA,NA,NA,NA,NA,,950.616,NA,9,0.6923076923076923,NA,833.2945,99995.34,7.6919492307692305
Pasch2021,African catfish,DRF,FishGlassHouse,Rostock,Germany,715.973,49,1,9,4,13,6.60898153846154,120,85.91676,NA,NA,NA,NA,NA,NA,,950.616,NA,9,0.6923076923076923,NA,833.2945,99995.34,7.6919492307692305
Pasch2021,African catfish,Raft,FishGlassHouse,Rostock,Germany,715.973,49,1,9,4,13,6.60898153846154,120,85.91676,NA,NA,NA,NA,NA,NA,,950.616,NA,9,0.6923076923076923,NA,833.2945,99995.34,7.6919492307692305
Pasch2021a,African catfish,DRF,FishGlassHouse,Rostock,Germany,743.63,49,1,9,4,13,7.12740753846154,124.6,92.656298,NA,NA,NA,NA,NA,NA,,825.11,NA,9,0.6923076923076923,NA,784.37,97732.502,7.517884769230769
Pasch2021a,African catfish,Raft,FishGlassHouse,Rostock,Germany,743.63,49,1,9,4,13,7.12740753846154,124.6,92.656298,NA,NA,NA,NA,NA,NA,,825.11,NA,9,0.6923076923076923,NA,784.37,97732.502,7.517884769230769
Pasch2021a,African catfish,GrowPipe,FishGlassHouse,Rostock,Germany,743.63,49,1,9,4,13,7.12740753846154,124.6,92.656298,NA,NA,NA,NA,NA,NA,,825.11,NA,9,0.6923076923076923,NA,784.37,97732.502,7.517884769230769
Delaide2017,Nile tilapia,Lettuce,PAFF Box University of Liege,Gembloux,Belgium,73.9,164,0.38,2,1.855,2.673,23,200,14.78,3.333,30,0.0416,25,NA,NA,95%,236,NA,0.76,0.2843247287691732,0.1111968,154.95,30989.999999999996,11.593714927048259
Delaide2017,Nile tilapia,Basil,PAFF Box University of Liege,Gembloux,Belgium,73.9,164,0.38,2,1.855,2.673,23,200,14.78,3.333,30,0.0416,25,NA,NA,95%,236,NA,0.76,0.2843247287691732,0.1111968,154.95,30989.999999999996,11.593714927048259
Knaus2017,Nile tilapia,Unit I,FishGlassHouse,Rostock,Germany,3.32,70,1.8,1,1.41,3.81,1.6,33,2.9173,0.056388,NA,0.0148,23.1,7,7.7,1.60%,27.6,2917.3,1.8,0.47244094488188976,0.056388,15.46,510.18,0.13390551181102361
Knaus2017,Nile tilapia,Unit I,FishGlassHouse,Rostock,Germany,3.32,70,1.8,1,1.41,3.81,1.6,33,2.9173,0.056388,NA,0.0148,23.1,7,7.7,1.60%,27.6,2917.3,1.8,0.47244094488188976,0.056388,15.46,510.18,0.13390551181102361
Knaus2017,Nile tilapia,Unit I,FishGlassHouse,Rostock,Germany,3.32,70,1.8,1,1.41,3.81,1.6,33,2.9173,0.056388,NA,0.0148,23.1,7,7.7,1.60%,27.6,2917.3,1.8,0.47244094488188976,0.056388,15.46,510.18,0.13390551181102361
Knaus2017,Nile tilapia,Unit I,FishGlassHouse,Rostock,Germany,3.32,70,1.8,1,1.41,3.81,1.6,33,2.9173,0.056388,NA,0.0148,23.1,7,7.7,1.60%,27.6,2917.3,1.8,0.47244094488188976,0.056388,15.46,510.18,0.13390551181102361
Knaus2017,African catfish,Unit II,FishGlassHouse,Rostock,Germany,3.92,70,1.8,1,1.41,3.81,1.6,33,2.9347,0.056388,NA,0.0148,22.8,7.5,7.8,10.42%,46.29,2934.7,1.8,0.47244094488188976,0.056388,25.105,828.465,0.21744488188976377
Knaus2017,African catfish,Unit II,FishGlassHouse,Rostock,Germany,3.92,70,1.8,1,1.41,3.81,1.6,33,2.9347,0.056388,NA,0.0148,22.8,7.5,7.8,10.42%,46.29,2934.7,1.8,0.47244094488188976,0.056388,25.105,828.465,0.21744488188976377
Knaus2017,African catfish,Unit II,FishGlassHouse,Rostock,Germany,3.92,70,1.8,1,1.41,3.81,1.6,33,2.9347,0.056388,NA,0.0148,22.8,7.5,7.8,10.42%,46.29,2934.7,1.8,0.47244094488188976,0.056388,25.105,828.465,0.21744488188976377
Knaus2017,African catfish,Unit II,FishGlassHouse,Rostock,Germany,3.92,70,1.8,1,1.41,3.81,1.6,33,2.9347,0.056388,NA,0.0148,22.8,7.5,7.8,10.42%,46.29,2934.7,1.8,0.47244094488188976,0.056388,25.105,828.465,0.21744488188976377
