Mineral,log.IAP,logQK,Stoichiometry,Col5,Col6,Col7,Col8,Col9,Col10,Col11,cation,anion
Hematite,-1.418,0,2,Fe+3,3,H2O,-6,H+1,NA,NA,Fe+3,H2O
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
MnHPO4(s),-25.4,0,1,Mn+2,1,PO4-3,1,H+1,NA,NA,Mn+2,PO4-3
Hematite,-1.418,0,2,Fe+3,3,H2O,-6,H+1,NA,NA,Fe+3,H2O
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
MnHPO4(s),-25.4,0,1,Mn+2,1,PO4-3,1,H+1,NA,NA,Mn+2,PO4-3
MnHPO4(s),-25.4,0,1,Mn+2,1,PO4-3,1,H+1,NA,NA,Mn+2,PO4-3
Cupric Ferrite,5.988,0,-8,H+1,1,Cu+2,2,Fe+3,4,H2O,Fe+3,H2O
Hematite,-1.418,0,2,Fe+3,3,H2O,-6,H+1,NA,NA,Fe+3,H2O
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
Hematite,-1.418,0,2,Fe+3,3,H2O,-6,H+1,NA,NA,Fe+3,H2O
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
MnHPO4(s),-25.425,-0.025,1,Mn+2,1,PO4-3,1,H+1,NA,NA,Mn+2,PO4-3
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
MnHPO4(s),-25.4,0,1,Mn+2,1,PO4-3,1,H+1,NA,NA,Mn+2,PO4-3
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
MnHPO4(s),-25.4,0,1,Mn+2,1,PO4-3,1,H+1,NA,NA,Mn+2,PO4-3
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
Cupric Ferrite,5.964,-0.024,-8,H+1,1,Cu+2,2,Fe+3,4,H2O,Fe+3,H2O
Hematite,-1.418,0,2,Fe+3,3,H2O,-6,H+1,NA,NA,Fe+3,H2O
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
Hematite,-1.418,0,2,Fe+3,3,H2O,-6,H+1,NA,NA,Fe+3,H2O
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
Hematite,-1.418,0,2,Fe+3,3,H2O,-6,H+1,NA,NA,Fe+3,H2O
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
Hematite,-1.418,0,2,Fe+3,3,H2O,-6,H+1,NA,NA,Fe+3,H2O
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
Hematite,-1.418,0,2,Fe+3,3,H2O,-6,H+1,NA,NA,Fe+3,H2O
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
MnHPO4(s),-25.4,0,1,Mn+2,1,PO4-3,1,H+1,NA,NA,Mn+2,PO4-3
Hematite,-1.418,0,2,Fe+3,3,H2O,-6,H+1,NA,NA,Fe+3,H2O
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
Hematite,-1.418,0,2,Fe+3,3,H2O,-6,H+1,NA,NA,Fe+3,H2O
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
Cupric Ferrite,5.988,0,-8,H+1,1,Cu+2,2,Fe+3,4,H2O,Fe+3,H2O
Hematite,-1.418,0,2,Fe+3,3,H2O,-6,H+1,NA,NA,Fe+3,H2O
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
Cupric Ferrite,5.988,0,-8,H+1,1,Cu+2,2,Fe+3,4,H2O,Fe+3,H2O
Hematite,-1.418,0,2,Fe+3,3,H2O,-6,H+1,NA,NA,Fe+3,H2O
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
Cupric Ferrite,5.988,0,-8,H+1,1,Cu+2,2,Fe+3,4,H2O,Fe+3,H2O
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
Tenorite(am),8.49,0,1,Cu+2,1,H2O,-2,H+1,NA,NA,Cu+2,H2O
Cupric Ferrite,5.988,0,-8,H+1,1,Cu+2,2,Fe+3,4,H2O,Fe+3,H2O
Hematite,-1.418,0,2,Fe+3,3,H2O,-6,H+1,NA,NA,Fe+3,H2O
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
Cupric Ferrite,5.988,0,-8,H+1,1,Cu+2,2,Fe+3,4,H2O,Fe+3,H2O
Hematite,-1.418,0,2,Fe+3,3,H2O,-6,H+1,NA,NA,Fe+3,H2O
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
MnHPO4(s),-25.4,0,1,Mn+2,1,PO4-3,1,H+1,NA,NA,Mn+2,PO4-3
Cupric Ferrite,5.988,0,-8,H+1,1,Cu+2,2,Fe+3,4,H2O,Fe+3,H2O
Hematite,-1.418,0,2,Fe+3,3,H2O,-6,H+1,NA,NA,Fe+3,H2O
Hydroxyapatite,-44.333,0,5,Ca+2,3,PO4-3,1,H2O,-1,H+1,Ca+2,H+1
MnHPO4(s),-25.4,0,1,Mn+2,1,PO4-3,1,H+1,NA,NA,Mn+2,PO4-3
