"","chemFormula","chemCation","chemAnion","coeffCation","coeffAnion","MSalt","MCation","MAnion","Ks0"
"1","CaCO3","Ca","CO3",1,1,100,40,60,3.36e-09
"2","Ca(OH)2","Ca","OH",1,2,74,40,17,5.02e-06
"3","CaSO4","Ca","SO4",1,1,136,40,96,4.93e-05
"4","CaSO4 x 2 H2O","Ca","SO4",1,1,172,40,96,3.14e-05
"5","MgCO3","Mg","CO3",1,1,84,24.3,60,6.82e-06
"6","Mg(OH)2","Mg","OH",1,2,58,24.3,17,5.61e-12
"7","Ca3(PO4)2","Ca","PO4",3,2,310,40,94.974,1e-26
"8","Cu3(PO4)2","Cu","PO4",3,2,382,63.546,94.974,1.4e-37
"9","MnCO3","Mn","CO3",1,1,115,55,60,2.24e-11
"10","FePO4 x 2 H2O","Fe","PO4",1,1,187,56,94.974,9.91e-16
"11","Mg3(PO4)2","Mg","PO4",3,2,262,24.3,94.974,1.04e-24
"12","NiCO3","Ni","CO3",1,1,119,59,60,1.42e-07
"13","Ni(OH)2","Ni","OH",1,2,93,59,17,5.48e-16
"14","Ni3(PO4)2","Ni","PO4",3,2,367,59,94.974,4.74e-32
"15","ZnCO3","Zn","CO3",1,1,125,65.38,60,1.46e-10
"16","Zn(OH)2","Zn","OH",1,2,99,65.38,17,3e-17
"17","Zn3(PO4)2 x 4 H2O","Zn","PO4",3,2,NA,65.38,94.974,9e-33
